"REF_DATE","GEO","DGUID","Gender","Type of migrant","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022/2023","Canada","2016A000011124","Total - gender","Immigrants","All ages","Persons","249","units","0","v437339","1.1.1.1","468913","","","","0"
"2023/2024","Canada","2016A000011124","Total - gender","Immigrants","All ages","Persons","249","units","0","v437339","1.1.1.1","464265","","","","0"
"2022/2023","Canada","2016A000011124","Total - gender","Immigrants","-1 year","Persons","249","units","0","v437390","1.1.1.2","966","","","","0"
"2023/2024","Canada","2016A000011124","Total - gender","Immigrants","-1 year","Persons","249","units","0","v437390","1.1.1.2","839","","","","0"
"2022/2023","Canada","2016A000011124","Total - gender","Immigrants","0 to 4 years","Persons","249","units","0","v437588","1.1.1.8","27071","","","","0"
"2023/2024","Canada","2016A000011124","Total - gender","Immigrants","0 to 4 years","Persons","249","units","0","v437588","1.1.1.8","26688","","","","0"
"2022/2023","Canada","2016A000011124","Total - gender","Immigrants","5 to 9 years","Persons","249","units","0","v437372","1.1.1.14","32817","","","","0"
"2023/2024","Canada","2016A000011124","Total - gender","Immigrants","5 to 9 years","Persons","249","units","0","v437372","1.1.1.14","33300","","","","0"
"2022/2023","Canada","2016A000011124","Total - gender","Immigrants","10 to 14 years","Persons","249","units","0","v437393","1.1.1.20","26844","","","","0"
"2023/2024","Canada","2016A000011124","Total - gender","Immigrants","10 to 14 years","Persons","249","units","0","v437393","1.1.1.20","26801","","","","0"
"2022/2023","Canada","2016A000011124","Total - gender","Immigrants","15 to 19 years","Persons","249","units","0","v437411","1.1.1.26","20338","","","","0"
"2023/2024","Canada","2016A000011124","Total - gender","Immigrants","15 to 19 years","Persons","249","units","0","v437411","1.1.1.26","20557","","","","0"
"2022/2023","Canada","2016A000011124","Total - gender","Immigrants","20 to 24 years","Persons","249","units","0","v437432","1.1.1.32","47261","","","","0"
"2023/2024","Canada","2016A000011124","Total - gender","Immigrants","20 to 24 years","Persons","249","units","0","v437432","1.1.1.32","44177","","","","0"
"2022/2023","Canada","2016A000011124","Total - gender","Immigrants","25 to 29 years","Persons","249","units","0","v437450","1.1.1.38","88965","","","","0"
"2023/2024","Canada","2016A000011124","Total - gender","Immigrants","25 to 29 years","Persons","249","units","0","v437450","1.1.1.38","96310","","","","0"
"2022/2023","Canada","2016A000011124","Total - gender","Immigrants","30 to 34 years","Persons","249","units","0","v437471","1.1.1.44","79383","","","","0"
"2023/2024","Canada","2016A000011124","Total - gender","Immigrants","30 to 34 years","Persons","249","units","0","v437471","1.1.1.44","74350","","","","0"
